UBC;TALDO1;SORBS1;SNCG;REEP6;PLIN2;MGLL;LAMA4;ITGA7;GBE1;GADD45A;FABP4;DHCR7;COL4A1;COL15A1;CMBL;CDKN2C;C3;APOE;APLP2;ALDOA;ALDH2;ACAA2;ABCA1
 2,885997e-01;-6,543230e-01;-0,2239556;-0,626187072; 2,05011475;-0,2326060; 1,3754451347;-0,7248083372;-6,592424e-02; 1,242328e+00; 0,9656995217;-0,10012724; 0,7017658276;-0,5158862055; 2,04760813; 1,339181e+00;-7,232123e-01;-0,1260827071; 2,5000000; 4,617017e-01; 1,2015004932; 0,092568121; 2,858928e-01; 1,52338277
 1,412311e+00; 8,469416e-01;-0,2271575;-0,603501106; 1,07188587;-0,2036163;-0,5283451435;-0,0202037545;-1,247339e-01; 5,136107e-01; 0,3365865036;-0,11157904; 0,3996396359;-0,0991769476;-0,13738693; 1,378840e+00;-6,665046e-01;-0,2496238005;-0,2880352; 1,982081e+00; 0,0320530803; 1,521235854; 4,969359e-01; 1,28723665
 7,041492e-01; 4,205669e-01;-0,2275212;-0,600924616; 0,53397892;-0,2003239; 2,5000000000;-0,2447127808;-1,314130e-01; 5,065922e-01;-0,3418408825;-0,11287965;-0,9330514956;-0,3128046051;-0,13432008; 9,294955e-02;-6,600642e-01;-0,2636546060;-0,2897415; 1,032457e+00; 0,0913136502;-0,586837260; 1,431792e+00; 0,70914101
 1,127193e+00; 1,030750e+00;-0,2252432;-0,617064330;-0,50157247;-0,2209483; 0,3150458739;-0,7165898656;-8,957344e-02; 7,763266e-02; 0,1176854576;-0,10473237; 0,1366956842; 0,0277282435;-0,15353153; 6,500555e-01;-7,004083e-01;-0,1757624762;-0,2790529; 2,442079e+00; 0,3673142915; 2,076503367; 1,208457e+00; 0,79606112
 8,643009e-01; 1,849846e-01; 2,5000000;-0,592645973;-0,55763484;-0,1897448;-0,4986677911;-0,6945919220;-1,528740e-01;-1,232060e+00; 0,3927854173;-0,11705868;-0,4291149809;-0,1926544851;-0,12446583; 1,221252e+00;-6,393702e-01;-0,3087376583;-0,2952241; 2,244212e+00;-0,0265081529; 0,325427960; 1,710357e+00;-0,46045982
 7,867422e-01; 1,030523e+00;-0,2290053;-0,590409264; 0,46102888;-0,1868866; 0,9856254817;-0,6925769220;-1,586723e-01;-3,776097e-01;-0,2097156691;-0,11818776; 1,7181775859;-0,7107764586;-0,12180342; 8,975531e-01;-6,337791e-01; 1,5078744997; 0,7607144; 5,295290e-01; 0,2401338012; 0,818779980;-4,314409e-01;-0,46338894
 1,226488e+00;-2,920744e-01; 2,1582723;-0,591594528; 1,35523581; 2,5000000;-0,4957931975;-0,6936446993;-1,555997e-01;-7,669747e-01;-0,9213840074;-0,11758944; 0,5426592249;-0,7180713214;-0,12321427; 8,427908e-03;-6,367419e-01;-0,3144635167;-0,2959204; 5,469939e-01; 0,0516305116; 0,178348571; 4,172452e-01;-0,46183676
-1,833416e-01;-3,823015e-01; 2,5000000;-0,581717642; 0,64037259;-0,1757799; 0,4812792444;-0,6847468374;-1,812039e-01; 7,026267e-02; 0,2759859984;-0,12257526; 1,0196556581;-0,6572827256;-0,11145760;-6,866523e-01;-6,120528e-01; 1,8165463134;-0,3024614; 9,552324e-01; 0,6157448550; 0,329361521; 6,528279e-01; 1,95074495
 7,743102e-01;-1,028295e+00;-0,2308281;-0,577494519;-0,59242123;-0,1703833;-0,4572445285;-0,6809423215;-1,921517e-01; 6,418841e-01; 0,0025212899;-0,12470708;-1,0996292141;-0,6312909563;-0,10643072; 1,326158e-01;-6,014964e-01; 2,5000000000; 2,4130562; 5,191849e-01; 0,4051333842;-0,562808814;-9,353256e-01; 2,50000000
 3,327758e-01; 1,344286e+00;-0,2284719;-0,594188535; 2,35364041;-0,1917160;-0,5028850728;-0,6959815811;-1,488752e-01; 4,815392e-01; 0,3968243281;-0,11628000;-0,4666946363; 0,5202715308;-0,12630197; 3,496895e-01;-6,432261e-01;-0,3003373202;-0,2942025;-4,618421e-03; 0,7695601158; 0,945080421;-3,844174e-01; 1,78924610
