gene;cluster
ISG15;1
AURKAIP1;1
LRRC38;1
PDPN;1
IFI6;1
RP11-14N7.2;1
IL24;1
TPO;1
ODC1;1
CAPG;1
FHL2;1
RBPJ;1
ANXA10;1
NDUFS6;1
CCT5;1
LINC01021;1
FST;1
ARL14EPL;1
IRF1;1
HBEGF;1
CD74;1
HLA-DRA;1
HLA-DRB1;1
HLA-DPA1;1
FILIP1;1
HMGN3;1
VGF;1
NAMPT;1
NDUFB2;1
VCX3A;1
VCX;1
VCX3B;1
PAGE1;1
MAGEC2;1
NEFL;1
CLU;1
SFRP1;1
PLAT;1
CEBPD;1
CTNNAL1;1
TNFSF15;1
PAPPA;1
HBE1;1
LINC00958;1
MDK;1
C11orf31;1
NNMT;1
GRAMD1B;1
KCNMA1;1
PDLIM1;1
GALNT8;1
KRT81;1
KRT18;1
ALDH2;1
RP11-669N7.2;1
FLT1;1
TEX29;1
PSME2;1
NFKBIA;1
PLEK2;1
IFI27;1
ABHD17C;1
CEMIP;1
MT2A;1
MT1E;1
MT1G;1
CCL2;1
RP11-670E13.6;1
CD7;1
BST2;1
JUND;1
DMKN;1
C19orf33;1
MT-ND1;1
MT-CO2;1
MT-ATP6;1
MT-CO3;1
MT-CYB;1
ZNF880;1
eGFP;1
SLC30A1;1
MARCO;1
PRNP;1
PTX3;1
HSP90AA1;1
TRMT112;1
NDUFC2;1
PVRL4;1
AJAP1;1
EBNA1BP2;1
TMEM160;1
SNRNP25;1
TSPY10;1
HLA-DMA;1
AP1S1;1
C1QBP;1
CXCL3;1
CMBL;1
BCYRN1;1
GAL;1
GPR87;1
ATOX1;1
SAA1;1
FOXD1;1
COTL1;1
CHI3L1;1
SRM;1
ARID5B;1
KRT3;1
GPX1;1
ABL2;1
GMFG;1
ADGRE1;1
REXO2;1
OSCAR;1
GLRX3;1
CTSF;1
AKR1B1;1
TUBB2A;1
GSTP1;1
TUBB4B;1
HSPD1;1
MIR99AHG;1
FAM210B;1
GPAT3;1
LDHB;1
RUVBL1;1
CMTM8;1
NDUFB7;1
PSMA3;1
UBXN1;1
TNFAIP3;1
CDC123;1
EIF6;1
SERPINB8;1
IRS2;1
LYPD1;1
PSMD2;1
TWF1;1
PROCR;1
SH2D2A;1
CAMK1;1
UBB;1
RPS10;1
BASP1;1
SRGN;1
CTSZ;1
SNHG15;1
ARHGAP5-AS1;1
CLNS1A;1
YWHAB;1
LARP6;1
NDUFA4;1
BATF3;1
NDUFS8;1
C16orf74;1
HLA-DQB1;1
STOML2;1
GCSH;1
RP11-554I8.2;1
SYNGR1;1
ARHGAP5;1
COL17A1;1
MDH1;1
MYC;1
MRPL41;1
FDXR;1
MSX1;1
AHCY;1
TALDO1;1
ZNF622;1
IL23R;1
HLA-DRB5;1
NOP16;1
SOD1;1
RUVBL2;1
MAOA;1
VSTM1;1
BEX1;1
SAC3D1;1
RNASE1;1
PODXL2;1
LIMA1;1
MDH2;1
ANAPC15;1
TCP1;1
CCT4;1
CCT2;1
TUBA3C;1
HPCAL1;1
ISCU;1
ATP5L;1
NUDC;1
AC002331.1;1
CES1;1
PPP1R15A;1
AC006262.4;1
CCT3;1
FLJ26245;1
TMEM92;1
EPB41L4A-AS1;1
BAX;1
DNAJA1;1
RAB30-AS1;1
BBC3;1
CAMK1D;1
GADD45A;1
PSMA7;1
TMEM14B;1
ARHGAP29;1
PSMB6;1
RPS21;1
DDB2;1
CTAG2;1
CTD-2263F21.1;1
LINC01537;1
MT1F;1
SLC25A5;1
UBE2S;1
IL6;1
TECR;1
CCDC85B;1
ATIC;1
NFKBIZ;1
KPNA2;1
ACAA2;1
BIN1;1
PPP1R14B;1
GADD45B;1
PHB;1
CD274;1
GABRG3;1
C16orf45;1
ADRM1;1
PPA1;1
FOXP1;1
RPS3;1
TBX3;1
HLA-DPB1;1
PLS1;1
CDH11;1
YWHAQ;1
IGFBP2;1
SHC4;1
GAGE1;1
SLC12A8;1
PSMC2;1
APOA1BP;1
PDP1;1
RPP40;1
TMEM98;1
SSB;1
SNF8;1
PPIF;1
CDC20;1
MRPL21;1
