gene;cluster
TXNIP;1
SLAMF9;1
PLOD2;1
MME;1
LOX;1
HILPDA;1
NDRG1;1
CA9;1
C10orf10;1
ENO2;1
LINC00520;1
ALDOC;1
SERPINE1;1
SEMA4B;1
P4HA1;1
BNIP3;1
PGK1;1
ZP1;1
ERO1A;1
BNIP3L;1
SLC2A1;1
FN1;1
RASSF4;1
GBE1;1
ISG20;1
OSMR;1
P4HA2;1
RP11-400N13.3;1
MXI1;1
CD68;1
SERPINE2;1
INSIG2;1
BACE2;1
LOXL2;1
GS1-600G8.5;1
SCD;1
FAM162A;1
ANG;1
ITPR1;1
KDELR3;1
C4orf3;1
ITGA5;1
NGLY1;1
VEGFA;1
TREM1;1
LAT;1
TMSB4X;1
AC003092.1;1
CIB1;1
ALDOA;1
SLC16A3;1
RP11-798M19.6;1
IL1B;1
KRT15;1
ARG2;1
ANKRD37;1
POC1B;1
PPP1R13L;1
P4HB;1
TPBG;1
GPI;1
IAH1;1
TNNT1;1
RP11-575F12.3;1
HAS2;1
PFKL;1
DNASE1L1;1
MIR210HG;1
FAM20C;1
WSB1;1
SLC6A8;1
LPO;1
SBSN;1
MAGED2;1
ADGRL4;1
PLD3;1
ID1;1
CCDC107;1
POLD4;1
PGF;1
CITED2;1
UBA6;1
BHLHE40;1
PRSS3;1
RELA;1
MAP2K1;1
LMAN1;1
HK1;1
DLGAP4;1
TRIML2;1
SDC2;1
LAMA4;1
RGS17;1
DHCR7;1
QSOX1;1
TMBIM1;1
CPNE3;1
GNG11;1
CCDC109B;1
LAMB3;1
DHRS7;1
MSMO1;1
EGLN3;1
FAM114A1;1
SEZ6L2;1
HSD11B1;1
FNTA;1
ZCCHC7;1
ELL2;1
LTBP3;1
NOL3;1
COL6A3;1
MPI;1
IL1RAP;1
PYGL;1
FOSL1;1
CTSB;1
WIPI1;1
EPB41L3;1
JMJD6;1
RAB20;1
SRD5A3;1
RPL17;1
ERGIC1;1
FUT11;1
ACAT2;1
IDH2;1
SMTN;1
WDR54;1
BTG1;1
SHB;1
SMAP1;1
INSIG1;1
CSNK1D;1
PHF1;1
CA12;1
KCMF1;1
C4orf47;1
KDELR2;1
LRP1;1
SAP30;1
STC1;1
VKORC1;1
FAM3C;1
PDK1;1
CFAP36;1
MVD;1
SEC24A;1
ASPH;1
HMGCL;1
SCG5;1
RP11-395G23.3;1
CLMP;1
RP11-366H4.1;1
WFDC3;1
ZBTB25;1
TAOK3;1
CCDC53;1
LINC00261;1
GAPDH;1
MPZL1;1
CDKN2D;1
LOXL3;1
SLC14A1;1
TFB1M;1
KLC1;1
ECM1;1
GDI1;1
PTEN;1
DDX50;1
IGFBP7;1
CMTM7;1
PLAUR;1
KCNN4;1
PCAT6;1
DRAM2;1
USP3;1
AMPD2;1
DKK3;1
CD55;1
DNAJB2;1
TMEM45A;1
BCAP29;1
TSC22D3;1
F11R;1
YIPF2;1
ATP2B1;1
STXBP1;1
CSRP2;1
LIMCH1;1
TPD52;1
F3;1
ZNF385A;1
ARHGAP22;1
NPEPPS;1
NMU;1
PFKFB4;1
ESM1;1
SLC6A6;1
WDR45B;1
CECR5;1
PGAM1;1
MVK;1
AMPD3;1
SNX9;1
UBE2V2;1
SDCBP;1
ZFYVE21;1
PBX3;1
SLC35B2;1
LINC01588;1
EBP;1
DERL1;1
VEGFC;1
EGLN1;1
ADAM9;1
ERRFI1;1
ACSL3;1
TBC1D9B;1
PLOD1;1
HIST3H2A;1
AHNAK2;1
RDH11;1
RAB32;1
CTA-29F11.1;1
NIT1;1
TMEM263;1
TMEM9;1
SLC39A11;1
SEC31A;1
KLF7;1
DECR1;1
ENO1;1
MLXIP;1
CLEC2B;1
NAV1;1
CCNG2;1
EIF5A2;1
RAI14;1
VLDLR;1
ANKRD12;1
SPINK1;1
AK4;1
TUBA4A;1
PERP;1
BET1;1
HDAC3;1
SNX7;1
TRAM1;1
GOLT1B;1
DTNA;1
EIF4A3;1
MKRN1;1
ASAP1;1
C12orf76;1
CD46;1
GLIPR1;1
SCARB2;1
KDELR1;1
CCDC80;1
FAM210A;1
YIPF5;1
C9orf9;1
EHD2;1
DDX41;1
UFSP2;1
RP11-841O20.2;1
PDE4DIP;1
SMPD1;1
RP11-11N9.4;1
OS9;1
SCAMP2;1
FDPS;1
EPAS1;1
WSB2;1
SUCLG2;1
SMS;1
HEBP1;1
GLTP;1
PAM;1
SPATS2;1
FAM216A;1
ARL1;1
CCNI;1
IL32;1
RHOC;1
SQLE;1
SLCO4A1;1
BCKDK;1
CD59;1
FDFT1;1
UGP2;1
SPOCK1;1
PTPRR;1
SOX4;1
ZKSCAN1;1
MSANTD3;1
A1BG;1
PDK3;1
TMEM70;1
ALKBH5;1
STEAP1;1
ELOVL5;1
RP11-390P2.4;1
ZNF292;1
ANTXR2;1
NSMCE1;1
LUCAT1;1
COPB2;1
PVRL2;1
MTMR11;1
RP11-357H14.17;1
HPS3;1
NUCB2;1
SCOC;1
CINP;1
PDIA6;1
CALU;1
SEC23A;1
MGAT1;1
STARD4;1
SQRDL;1
TNIP1;1
TRIQK;1
SEMA5A;1
ARFGAP3;1
CLDND1;1
PPP1R12A;1
NPAS2;1
PPA2;1
IDI1;1
EVI2A;1
SGCE;1
NUP58;1
PLS3;1
TMEM154;1
SNAPC3;1
APMAP;1
LRRC42;1
TAF7;1
SPAG9;1
PPP2R5B;1
RRBP1;1
AP1S2;1
TAF12;1
LINC01583;1
ABTB1;1
OSTF1;1
SNX21;1
MAGED1;1
POFUT2;1
TPST2;1
IFFO1;1
GBAS;1
NCKIPSD;1
FAM13A;1
FAM219A;1
P3H1;1
TMF1;1
CERS2;1
HLA-A;1
SDCCAG8;1
GLT8D1;1
TGFBR2;1
IL10RB;1
SNHG18;1
EIF4EBP1;1
PHF11;1
TMED9;1
TFG;1
CERCAM;1
TGFB1I1;1
ITGBL1;1
FAM63B;1
PSMD9;1
PPARD;1
RAP1B;1
FUCA2;1
UBN1;1
COPG1;1
EIF3E;1
SLC44A1;1
CRIP2;1
SCAMP1;1
FXYD5;1
USO1;1
GYG1;1
RPS4Y1;1
MMP14;1
TMEM107;1
TUBA1A;1
SUN2;1
NRN1;1
SORBS3;1
SNX14;1
DSE;1
SLC17A5;1
DYRK4;1
CRABP2;2
AC019172.2;2
PARP16;2
MT1X;2
BCL2A1;2
TM4SF19;2
CYSTM1;2
ID3;2
HK2;2
NRIP3;2
PSAP;2
GSTM3;2
LDHA;2
RRAS;2
SERINC2;2
CD44;2
TFF2;2
CCDC30;2
NARF;2
TRPT1;2
EEF1G;2
CMB9-22P13.1;2
CORO1B;2
FHL2;2
HEXB;2
RP11-367F23.2;2
NPC1;2
PNRC1;2
GABARAP;2
MAD1L1;2
IGFBP6;2
CLK3;2
NINJ1;2
HSPB1;2
GLRX;2
ZPR1;2
SP100;2
TMEM176B;2
DNER;2
PDIA3;2
SLC2A3;2
ATP13A3;2
TKT;2
GRN;2
APLP2;2
ATP6AP2;2
PFKP;2
CDKN1A;2
PDXK;2
CACNA1B;2
WBP2;2
PHLDA3;2
PITPNC1;2
ZNF581;2
CTSA;2
CATSPER1;2
TMEM134;2
HTRA1;2
MFSD10;2
EPB41L4A-AS1;2
GNAI3;2
CCNG1;2
MBOAT7;2
DPCD;2
CRYL1;2
NEK6;2
NPC2;2
LTA4H;2
EVA1B;2
SERPINB6;2
SELM;2
SERINC3;2
HEXA;2
ECI2;2
SOD2;2
EIF4A2;2
EIF3D;2
UBC;2
CD151;2
CTSD;2
RP11-49I11.1;2
TIMP1;2
FTL;2
LETMD1;2
DDOST;2
NUCB1;2
VAT1L;2
LTBP1;2
FKBP10;2
UQCRC2;2
DARS;2
NEAT1;2
PPP2R1A;2
ERP44;2
FEZ2;2
PI3;2
DHPS;2
LGALS3;2
FBXO17;2
MXRA7;2
PMP22;2
CCT8;2
SEC13;2
JARID2;2
GRINA;2
GAPLINC;2
CXCL8;2
BLVRB;2
TSG101;2
SMIM1;2
DNAJB9;2
CADM1;2
ERGIC3;2
ZFAS1;2
APP;2
C6orf48;2
CHMP4B;2
GRSF1;2
FOSL2;2
PRDX4;2
ZMAT3;2
SAT2;2
ZNF277;2
NUDT22;2
TRIP10;2
IL36B;2
FAM50A;2
ACOT13;2
RNASET2;2
FGF10-AS1;2
CD300A;2
TPM2;2
HSP90B1;2
HIST1H2AC;2
SDHA;2
PKM;2
HES4;2
HSPA8;2
NFKBIL1;2
ZNF560;2
FAM89B;2
TWF1;2
ACTA2;2
PTPRE;2
LGALS3BP;2
BZW1;2
RUNX1;2
RIOK3;2
CHPF;2
TTC9C;2
HLA-B;2
YBEY;2
EEF2;2
VEGFB;2
CTNNA2;2
TGFA;2
RRAGC;2
VDAC2;2
CPNE1;2
ETS1;2
IGBP1;2
ILK;2
RORA;2
MTCH2;2
CHID1;2
DNAJC4;2
ATXN10;2
CSNK1E;2
DALRD3;2
HLA-E;2
TRIOBP;2
CD63;2
TMEM132A;2
PGM1;2
GSTO1;2
PIGT;2
IDH3G;2
YIF1A;2
NUDT14;2
SND1;2
TMEM120A;2
THG1L;2
TPP1;2
NBEAL1;2
RB1;2
PLIN3;2
THUMPD3;2
OPTN;2
RNH1;2
NKAP;2
PMPCB;2
C15orf48;2
RGL2;2
WDR45;2
MFI2;2
DDIT3;2
CSNK2B;2
UQCRC1;2
ATP5B;2
ATP1A1;2
NDUFS2;2
GNAS;2
PPP1R15A;2
RPN2;2
ATP5EP2;2
TGIF1;2
RNF114;2
SCCPDH;2
DBP;2
METRNL;2
MT2A;2
IGHA1;2
ACBD3;2
RTN4RL2;2
CTNNA1;2
MRPL10;2
BASP1;2
COL6A1;2
NOB1;2
STAMBP;2
USE1;2
TRADD;2
BRI3;2
ORAI3;2
GHITM;2
PJA2;2
LRP10;2
BAG6;2
ANXA4;2
TM2D1;2
GID8;2
LAPTM4A;2
C14orf166;2
RARS;2
GALE;2
UBXN6;2
ANXA11;2
HIPK2;2
TSEN34;2
SRPK2;2
PINK1;2
RABAC1;2
