gene;cluster
TXNIP;1
SLAMF9;1
PLOD2;1
MME;1
LOX;1
CA9;1
C10orf10;1
ISG20;1
GBE1;1
LOXL2;1
P4HA2;1
SCD;1
C4orf3;1
SERPINE2;1
INSIG2;1
RP11-400N13.3;1
GS1-600G8.5;1
ANG;1
TREM1;1
KRT15;1
RP11-798M19.6;1
VEGFA;1
LAT;1
NGLY1;1
POC1B;1
PPP1R13L;1
GPI;1
ARG2;1
HAS2;1
RP11-575F12.3;1
TPBG;1
AC003092.1;1
ADGRL4;1
DNASE1L1;1
EEF1G;1
FAM20C;1
CCDC107;1
POLD4;1
CITED2;1
WSB1;1
SLC6A8;1
GABARAP;1
DHCR7;1
QSOX1;1
LAMB3;1
FAM114A1;1
BHLHE40;1
MSMO1;1
CPNE3;1
DLGAP4;1
TMBIM1;1
EPB41L3;1
GNG11;1
SRD5A3;1
SMTN;1
ELL2;1
IL1RAP;1
SDC2;1
DHRS7;1
WIPI1;1
LTBP3;1
CA12;1
VKORC1;1
COL6A3;1
NOL3;1
FUT11;1
LOXL3;1
SEZ6L2;1
SAP30;1
C4orf47;1
HES1;1
CCDC53;1
BTG1;1
PHF1;1
FAM3C;1
CECR5;1
SLC14A1;1
MVK;1
LRP1;1
ARHGAP22;1
STC1;1
SCG5;1
PTEN;1
CD55;1
RAB32;1
NMU;1
ATP2B1;1
KCNN4;1
PCAT6;1
UBE2V2;1
ACSL3;1
CMTM7;1
ZFYVE21;1
DDX50;1
VEGFC;1
ECM1;1
YIPF2;1
ACAT2;1
IGFBP7;1
SEC24A;1
TMEM45A;1
RDH11;1
TMEM263;1
AHNAK2;1
PDE4DIP;1
F11R;1
RP11-841O20.2;1
EHD2;1
F3;1
TBC1D9B;1
NPEPPS;1
MPZL1;1
SCARB2;1
AK4;1
PBX3;1
RHOC;1
RP11-395G23.3;1
NSMCE1;1
WSB2;1
ESM1;1
PTPRR;1
ZNF385A;1
USP3;1
WDR45B;1
CLEC2B;1
GLTP;1
TRAM1;1
VLDLR;1
EIF5A2;1
RP11-390P2.4;1
SQLE;1
GLIPR1;1
ELOVL5;1
SEC23A;1
SUCLG2;1
CD46;1
LINC00998;1
PSMD9;1
STARD4;1
SLC39A11;1
EPAS1;1
SEC31A;1
RP11-357H14.17;1
HPS3;1
JUNB;1
SLC6A6;1
SOX4;1
BET1;1
DERL1;1
RAP1B;1
IFFO1;1
TSC22D3;1
CCDC80;1
UFSP2;1
RP11-11N9.4;1
AP1S2;1
PAM;1
MLXIP;1
CERS2;1
GRINA;1
TNIP1;1
CDKN2D;1
IL10RB;1
TRIQK;1
YIPF5;1
SMPD1;1
LAYN;1
OSTF1;1
TMEM107;1
DSE;1
P3H1;1
SEMA5A;1
FAM13A;1
CALU;1
SUN2;1
EVI2A;1
FXYD5;1
SPOCK1;1
CCNG2;1
STEAP3;1
CRIP2;1
MAGED1;1
FDPS;1
MMP14;1
GOLT1B;1
TMEM158;1
IDI1;1
GLT8D1;1
CHST2;1
DNAJB2;1
HIST3H2A;1
HCFC1R1;1
TMF1;1
CLDND1;1
PPDPF;1
RORA;1
SESTD1;1
MYL12A;1
HLA-B;1
SDC4;1
TUBA4A;1
PPP2R5B;1
TGFB1I1;1
LINC01583;1
FAM129B;1
ADTRP;1
ZFAND1;1
RPS4Y1;1
MGAT1;1
MICA;1
PORCN;1
TMEM55A;1
SLC17A5;1
ABTB1;1
SLC39A7;1
TMED9;1
ITGB1;1
GOLGA5;1
CRABP2;2
AC019172.2;2
ANXA10;2
CD74;2
HLA-DRA;2
ENO2;2
LINC00520;2
PARP16;2
SERPINE1;2
SEMA4B;2
HLA-DPA1;2
EEF1A2;2
FILIP1;2
FLT1;2
BNIP3;2
HLA-DRB1;2
TMEM255B;2
PGK1;2
LRRC38;2
ZP1;2
NEFL;2
SLC2A1;2
CYSTM1;2
MT1X;2
BACE2;2
OSMR;2
MXI1;2
FAM162A;2
TM4SF19;2
ITPR1;2
PLAT;2
BCL2A1;2
TNFSF15;2
CD7;2
NAMPT;2
CIB1;2
VGF;2
IL1B;2
GSTM3;2
GDF15;2
NRIP3;2
TNNT1;2
PFKL;2
RRAS;2
HK2;2
NARF;2
ID3;2
CAPG;2
SBSN;2
TPO;2
FHL2;2
LDHA;2
PSAP;2
LPO;2
CTSL;2
TFF2;2
CD44;2
TRPT1;2
PDPN;2
IGFBP6;2
CCDC30;2
NPC1;2
CORO1B;2
LINC01021;2
ZPR1;2
HK1;2
CMB9-22P13.1;2
ID1;2
HBE1;2
DNER;2
HEXB;2
PITPNC1;2
MAD1L1;2
PAPPA;2
HLA-DMA;2
TMEM176B;2
SFR1;2
GLRX;2
RP11-367F23.2;2
CMBL;2
SP100;2
CLK3;2
PFKP;2
ZNF880;2
CATSPER1;2
ATP13A3;2
GPAT3;2
TKT;2
APLP2;2
CACNA1B;2
MPI;2
PROCR;2
RBPJ;2
NEK6;2
CSNK1D;2
PHLDA3;2
WBP2;2
RAB20;2
PDXK;2
CCNG1;2
GRN;2
ERGIC1;2
STC2;2
MBOAT7;2
PYGL;2
TEX30;2
ECI2;2
TMEM134;2
TUBB2A;2
WFDC3;2
LTA4H;2
ATP6AP2;2
SMAP1;2
NPC2;2
MFSD10;2
CLMP;2
CTSF;2
SLC22A18;2
EIF4A2;2
EIF3D;2
SERPINB6;2
OSCAR;2
ZNF581;2
CDKN1A;2
CREM;2
DDIT4;2
TIMP1;2
DPCD;2
LIMCH1;2
FEZ2;2
FBXO17;2
MARCO;2
DARS;2
LYPD1;2
LTBP1;2
SERINC3;2
ARHGAP5;2
EGFL7;2
TRIB3;2
FTL;2
HEXA;2
EVA1B;2
ARHGAP5-AS1;2
ACOT13;2
RP11-49I11.1;2
KRT7;2
EPB41L4A-AS1;2
VAT1L;2
CTSA;2
CTSD;2
ERGIC3;2
PGAM1;2
HSPA8;2
BLVRB;2
RBCK1;2
EIF3M;2
TPD52;2
NUDT22;2
ETHE1;2
FST;2
GAPLINC;2
PI3;2
CTNNA2;2
TPM2;2
HLA-DPB1;2
TMEM136;2
PPP2R1A;2
CHPF;2
SLCO4A1;2
UQCRC2;2
UBC;2
CD300A;2
FGF10-AS1;2
YIF1A;2
RP11-525A16.4;2
GNAI3;2
PODXL2;2
NUCB1;2
CHID1;2
EEF2;2
VDAC2;2
FAM50A;2
DGKG;2
RNASET2;2
GRSF1;2
LETMD1;2
SHISA4;2
PKM;2
MFI2;2
C6orf48;2
ERP44;2
IL36RN;2
TSG101;2
OSER1;2
CCT8;2
LGALS3;2
CSNK1E;2
GLRX3;2
BZW1;2
GNPDA1;2
GSTO1;2
TMEM70;2
G6PD;2
COL17A1;2
C15orf48;2
ZFAS1;2
IGBP1;2
ATP1A1;2
TMEM132A;2
SND1;2
TTC9C;2
THUMPD3;2
DDOST;2
SDHA;2
TRIOBP;2
BASP1;2
ACTA2;2
PLIN3;2
SPATS2;2
GCLM;2
AGRN;2
LAIR2;2
PMP22;2
ZNF560;2
NUDT14;2
IGHA1;2
CSNK2B;2
IL36B;2
ASAH1;2
NOB1;2
CUL4A;2
RUNX1;2
UQCC1;2
UBE2E1;2
CALB2;2
NKAP;2
UBXN1;2
TM2D1;2
FDFT1;2
THG1L;2
RTN4RL2;2
MRPL10;2
SPOCD1;2
BRI3;2
AP3S1;2
CPNE1;2
ZNF292;2
NADSYN1;2
PDCD6;2
SAT2;2
PIGT;2
MT2A;2
SEC13;2
STAMBP;2
DBP;2
PMPCB;2
AP1S1;2
VAT1;2
MAD2L2;2
METRNL;2
RRAGC;2
RNF114;2
NBL1;2
STX8;2
RNH1;2
MMP1;2
SRPK2;2
C14orf166;2
NDUFA8;2
TGFA;2
IGF2BP3;2
FCRLB;2
SCCPDH;2
BLVRA;2
UPK1A-AS1;2
CAMK2N1;2
B3GAT3;2
EIF3H;2
PTPRN;2
RIOK3;2
C11orf74;2
DALRD3;2
FOSL2;2
TMEM120A;2
PAEP;2
RGS10;2
LINC00922;2
MACROD1;2
CTNNA1;2
TUBB6;2
KDELC1;2
KDSR;2
NOV;2
SYNGR1;2
EIF3L;2
HLA-E;2
RASSF8;2
WDR45;2
UNC119;2
APPL1;2
ATXN10;2
FLJ26245;2
C9orf116;2
RTN4;2
TRAPPC6A;2
NIFK;2
TCERG1L;2
MED10;2
AATF;2
PPIE;2
IL24;3
HBEGF;3
VCX;3
VCX3B;3
CEMIP;3
TEX29;3
MDK;3
KRT81;3
PDLIM1;3
C19orf33;3
MT1E;3
PAGE1;3
LINC00958;3
ABHD17C;3
VCX3A;3
RP11-669N7.2;3
HMGN3;3
ISG15;3
CCL2;3
DMKN;3
NNMT;3
PLEK2;3
SERINC2;3
IFI6;3
IRF1;3
ARL14EPL;3
NFKBIA;3
CLU;3
SNRNP25;3
SLC30A1;3
MAGEC2;3
BST2;3
GRAMD1B;3
RP11-670E13.6;3
AJAP1;3
SFRP1;3
ALDH2;3
GALNT8;3
UBE2S;3
FAM210B;3
SERPINB8;3
TIMM8B;3
OCIAD2;3
CMTM8;3
ANAPC15;3
SNHG15;3
ARID5B;3
AKR1B1;3
AHCY;3
C16orf74;3
IRS2;3
ODC1;3
PEX16;3
C11orf31;3
FDXR;3
ABL2;3
CTNNAL1;3
GMFG;3
NFKBIZ;3
SAC3D1;3
HSPE1;3
C17orf89;3
RP11-307P5.1;3
RP11-14N7.2;3
RAB30-AS1;3
ZNF622;3
C16orf45;3
GCSH;3
PCBD1;3
CAMK1;3
ZNF655;3
MRPL4;3
ZNHIT2;3
TNFAIP3;3
DDB2;3
STAT1;3
CDA;3
THYN1;3
STRA13;3
GPR87;3
NOP56;3
CXCL3;3
BCYRN1;3
FDX1;3
PKIG;3
CHMP4B;3
LIMA1;3
FOXP1;3
KRT18;3
COTL1;3
BIN1;3
PTX3;3
TWF1;3
HRAS;3
BRMS1;3
TIMM10;3
STX3;3
TMEM126A;3
ADGRE1;3
PVRL4;3
HSPH1;3
HSD17B10;3
MRPL11;3
ACAA2;3
BBC3;3
TM7SF3;3
