status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;RP11-34P13.7;  24;FALSE
OK;negbinomial.size; 1,611538e-05; 3,871139e-05;FO538757.2;1110;TRUE
OK;negbinomial.size; 1,402174e-19; 7,590918e-19;AP006222.2;1728;TRUE
OK;negbinomial.size; 3,146285e-01; 4,740269e-01;RP11-206L10.9; 292;TRUE
OK;negbinomial.size; 5,390533e-01; 7,680367e-01;FAM87B;  90;FALSE
OK;negbinomial.size; 8,561541e-03; 1,593472e-02;LINC00115; 395;TRUE
OK;negbinomial.size; 4,616679e-03; 8,837896e-03;FAM41C; 158;FALSE
OK;negbinomial.size; 9,297708e-01; 1,000000e+00;RP11-54O7.1;  52;FALSE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;RP11-54O7.3;   9;FALSE
OK;negbinomial.size; 8,827447e-01; 1,000000e+00;SAMD11;  28;FALSE
OK;negbinomial.size; 1,288988e-23; 8,334123e-23;NOC2L;3479;TRUE
OK;negbinomial.size; 1,307029e-01; 2,109846e-01;KLHL17; 369;TRUE
OK;negbinomial.size; 1,568186e-04; 3,461144e-04;PLEKHN1; 565;TRUE
OK;negbinomial.size; 9,322044e-01; 1,000000e+00;PERM1;  65;FALSE
OK;negbinomial.size; 8,266294e-01; 1,000000e+00;RP11-54O7.17;  96;FALSE
OK;negbinomial.size; 8,211635e-52; 1,413282e-50;HES4;2686;TRUE
OK;negbinomial.size;3,579166e-159;4,230951e-157;ISG15;2987;TRUE
OK;negbinomial.size; 1,225133e-69; 3,510874e-68;AGRN;2281;TRUE
OK;negbinomial.size; 4,338770e-05; 1,003980e-04;C1orf159; 468;TRUE
OK;negbinomial.size; 6,089621e-04; 1,273639e-03;TNFRSF4; 265;TRUE
OK;negbinomial.size; 5,138216e-24; 3,376864e-23;SDF4;3583;TRUE
OK;negbinomial.size; 3,426499e-13; 1,344265e-12;B3GALT6;2271;TRUE
