status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 2,648878e-01; 2,832356e-01;RP11-34P13.7;  25;FALSE
OK;negbinomial.size; 9,021476e-05; 1,308930e-04;FO538757.2;1123;TRUE
OK;negbinomial.size; 3,782301e-19; 9,555735e-19;AP006222.2;1736;TRUE
OK;negbinomial.size; 4,236616e-05; 6,265310e-05;RP11-206L10.9; 299;TRUE
OK;negbinomial.size; 6,927081e-03; 8,791198e-03;FAM87B;  90;FALSE
OK;negbinomial.size; 4,966237e-20; 1,287453e-19;LINC00115; 399;TRUE
OK;negbinomial.size; 8,275813e-25; 2,414742e-24;FAM41C; 163;FALSE
OK;negbinomial.size; 3,699999e-09; 6,678881e-09;RP11-54O7.1;  52;FALSE
OK;negbinomial.size; 3,569660e-01; 3,748008e-01;RP11-54O7.3;  10;FALSE
OK;negbinomial.size; 7,111517e-05; 1,037594e-04;SAMD11;  29;FALSE
OK;negbinomial.size; 3,787204e-79; 2,645742e-78;NOC2L;3480;TRUE
OK;negbinomial.size; 1,605579e-01; 1,768036e-01;KLHL17; 378;TRUE
OK;negbinomial.size; 2,653034e-12; 5,399220e-12;PLEKHN1; 577;TRUE
OK;negbinomial.size; 3,350964e-01; 3,532462e-01;PERM1;  67;FALSE
OK;negbinomial.size; 2,078141e-05; 3,124166e-05;RP11-54O7.17;  98;FALSE
OK;negbinomial.size;6,899177e-215;1,575151e-213;HES4;2691;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ISG15;2988;TRUE
OK;negbinomial.size; 1,658527e-99; 1,462956e-98;AGRN;2291;TRUE
OK;negbinomial.size; 1,687663e-12; 3,460451e-12;C1orf159; 482;TRUE
OK;negbinomial.size; 7,477065e-12; 1,498750e-11;TNFRSF4; 269;TRUE
OK;negbinomial.size; 4,366955e-58; 2,307128e-57;SDF4;3583;TRUE
OK;negbinomial.size; 2,425993e-26; 7,370688e-26;B3GALT6;2280;TRUE
OK;negbinomial.size; 6,173538e-32; 2,120958e-31;FAM132A; 210;TRUE
OK;negbinomial.size; 1,389334e-16; 3,259801e-16;UBE2J2;3366;TRUE
OK;negbinomial.size; 7,870505e-05; 1,145264e-04;SCNN1D;  58;FALSE
OK;negbinomial.size; 1,132338e-07; 1,914363e-07;ACAP3; 663;TRUE
OK;negbinomial.size; 1,384421e-06; 2,211135e-06;PUSL1;1866;TRUE
OK;negbinomial.size; 1,777679e-46; 7,902360e-46;CPSF3L;2920;TRUE
OK;negbinomial.size; 9,083845e-07; 1,465815e-06;CPTP;1828;TRUE
OK;negbinomial.size; 8,038033e-22; 2,188021e-21;DVL1;1438;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;AURKAIP1;4098;TRUE
OK;negbinomial.size; 4,835512e-34; 1,733183e-33;CCNL2;2245;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;MRPL20;4075;TRUE
OK;negbinomial.size; 1,672826e-04; 2,382288e-04;RP4-758J18.13;  64;FALSE
OK;negbinomial.size; 9,158723e-02; 1,037931e-01;ATAD3C;  71;FALSE
OK;negbinomial.size; 5,751225e-43; 2,415568e-42;ATAD3B; 924;TRUE
OK;negbinomial.size; 2,542583e-47; 1,143558e-46;ATAD3A;1790;TRUE
OK;negbinomial.size; 2,731092e-01; 2,914722e-01;TMEM240;  47;FALSE
OK;negbinomial.size; 2,470341e-38; 9,626346e-38;SSU72;3914;TRUE
OK;negbinomial.size; 1,818970e-11; 3,592357e-11;RP5-832C2.5; 159;FALSE
OK;negbinomial.size; 2,143367e-09; 3,904695e-09;RP11-345P4.9; 344;TRUE
OK;negbinomial.size; 1,581097e-05; 2,391142e-05;MIB2;1362;TRUE
OK;negbinomial.size; 1,761713e-01; 1,930267e-01;MMP23B;  32;FALSE
OK;negbinomial.size; 1,197672e-75; 8,020785e-75;CDK11B;2079;TRUE
OK;negbinomial.size; 8,687708e-05; 1,261318e-04;RP11-345P4.10; 166;FALSE
OK;negbinomial.size; 5,156520e-10; 9,610243e-10;SLC35E2B; 951;TRUE
OK;negbinomial.size; 1,160289e-31; 3,965021e-31;CDK11A;1050;TRUE
OK;negbinomial.size; 8,315513e-01; 8,355505e-01;SLC35E2;  50;FALSE
OK;negbinomial.size; 3,854881e-42; 1,597797e-41;NADK;1520;TRUE
OK;negbinomial.size; 3,274031e-16; 7,602453e-16;GNB1;3840;TRUE
OK;negbinomial.size; 7,846643e-05; 1,141977e-04;RP1-140A9.1; 100;FALSE
OK;negbinomial.size; 1,557351e-10; 2,967390e-10;TMEM52;  49;FALSE
OK;negbinomial.size; 1,327755e-53; 6,557750e-53;PRKCZ; 281;TRUE
OK;negbinomial.size; 9,725417e-25; 2,832652e-24;FAAP20;4106;TRUE
OK;negbinomial.size; 8,377860e-20; 2,158494e-19;SKI;1308;TRUE
OK;negbinomial.size; 3,838615e-12; 7,775901e-12;MORN1; 468;TRUE
OK;negbinomial.size; 2,121361e-42; 8,827377e-42;RER1;3930;TRUE
OK;negbinomial.size; 3,600372e-07; 5,937723e-07;PEX10;1580;TRUE
OK;negbinomial.size; 3,098458e-03; 4,044834e-03;PLCH2;  44;FALSE
OK;negbinomial.size; 4,485621e-12; 9,054897e-12;PANK4; 386;TRUE
OK;negbinomial.size; 1,045785e-08; 1,853305e-08;RP3-395M20.12; 349;TRUE
OK;negbinomial.size; 4,442540e-02; 5,207356e-02;RP3-395M20.8;  60;FALSE
OK;negbinomial.size; 2,564556e-20; 6,698639e-20;TNFRSF14;1384;TRUE
OK;negbinomial.size; 4,461839e-45; 1,944466e-44;FAM213B; 640;TRUE
OK;negbinomial.size; 1,231783e-01; 1,375983e-01;MMEL1;  17;FALSE
OK;negbinomial.size; 6,462983e-02; 7,441169e-02;TTC34; 100;FALSE
OK;negbinomial.size; 1,872931e-13; 3,968494e-13;PRDM16;  45;FALSE
OK;negbinomial.size; 7,884911e-17; 1,862688e-16;ARHGEF16;  73;FALSE
OK;negbinomial.size; 2,890150e-18; 7,130333e-18;MEGF6;  67;FALSE
OK;negbinomial.size; 9,354915e-32; 3,202917e-31;TPRG1L;1329;TRUE
OK;negbinomial.size; 3,081514e-30; 1,018930e-29;WRAP73;1798;TRUE
OK;negbinomial.size;2,546295e-122;2,850581e-121;SMIM1;1354;TRUE
OK;negbinomial.size; 1,974121e-26; 6,015092e-26;LRRC47;2407;TRUE
OK;negbinomial.size; 1,693591e-04; 2,411096e-04;CEP104;1355;TRUE
OK;negbinomial.size; 2,829705e-05; 4,230314e-05;DFFB; 231;TRUE
OK;negbinomial.size; 9,620179e-14; 2,063452e-13;C1orf174;2049;TRUE
OK;negbinomial.size;5,181584e-301;1,821971e-299;AJAP1;1552;TRUE
OK;negbinomial.size; 5,088081e-02; 5,922689e-02;NPHP4; 258;TRUE
OK;negbinomial.size; 2,776928e-64; 1,597178e-63;KCNAB2;1014;TRUE
OK;negbinomial.size; 3,556047e-11; 6,951916e-11;RPL22;4192;TRUE
OK;negbinomial.size; 7,600888e-02; 8,686177e-02;RP1-120G22.11;  11;FALSE
OK;negbinomial.size;1,395610e-101;1,252563e-100;ICMT;1837;TRUE
OK;negbinomial.size; 4,846529e-02; 5,655438e-02;LINC00337; 113;FALSE
OK;negbinomial.size; 2,726715e-12; 5,547285e-12;GPR153; 255;TRUE
OK;negbinomial.size;4,086271e-137;5,236955e-136;ACOT7;3468;TRUE
OK;negbinomial.size; 2,956505e-01; 3,139812e-01;RP1-202O8.3; 173;FALSE
OK;negbinomial.size; 1,680478e-31; 5,716553e-31;HES2; 213;TRUE
OK;negbinomial.size; 1,059514e-13; 2,268782e-13;TNFRSF25; 619;TRUE
OK;negbinomial.size; 8,030261e-06; 1,234283e-05;PLEKHG5;1019;TRUE
OK;negbinomial.size; 2,497840e-29; 8,105686e-29;NOL9;1124;TRUE
OK;negbinomial.size; 7,703658e-04; 1,048790e-03;ZBTB48; 559;TRUE
OK;negbinomial.size; 1,102350e-52; 5,385270e-52;KLHL21; 998;TRUE
OK;negbinomial.size; 1,369776e-03; 1,834126e-03;PHF13; 787;TRUE
OK;negbinomial.size; 1,257753e-25; 3,752168e-25;THAP3;1469;TRUE
OK;negbinomial.size; 3,866867e-06; 6,039101e-06;DNAJC11; 698;TRUE
OK;negbinomial.size; 7,654751e-08; 1,304691e-07;RP11-312B8.1;  62;FALSE
OK;negbinomial.size; 4,516223e-10; 8,440554e-10;CAMTA1;3989;TRUE
OK;negbinomial.size; 6,227599e-20; 1,609804e-19;VAMP3;3014;TRUE
OK;negbinomial.size; 6,687122e-02; 7,688393e-02;PER3; 606;TRUE
OK;negbinomial.size;4,127398e-145;5,661152e-144;TNFRSF9; 806;TRUE
OK;negbinomial.size; 3,499927e-69; 2,159571e-68;PARK7;4169;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ERRFI1;3876;TRUE
OK;negbinomial.size; 1,808899e-61; 1,003777e-60;RP11-431K24.1; 863;TRUE
OK;negbinomial.size; 2,420150e-04; 3,413017e-04;SLC45A1;  44;FALSE
OK;negbinomial.size; 2,199498e-08; 3,841052e-08;RERE;2145;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ENO1;4190;TRUE
OK;negbinomial.size; 3,154663e-14; 6,869832e-14;ENO1-AS1; 175;FALSE
OK;negbinomial.size; 5,432255e-06; 8,419456e-06;GPR157; 337;TRUE
OK;negbinomial.size; 2,424647e-32; 8,405569e-32;MIR34AHG; 302;TRUE
OK;negbinomial.size; 1,061324e-46; 4,739034e-46;H6PD;1563;TRUE
OK;negbinomial.size; 2,268989e-15; 5,124978e-15;SPSB1;1695;TRUE
OK;negbinomial.size; 5,002763e-98; 4,342495e-97;SLC25A33;1645;TRUE
OK;negbinomial.size; 7,262086e-18; 1,770731e-17;TMEM201; 460;TRUE
OK;negbinomial.size; 4,789064e-57; 2,490590e-56;PIK3CD;1031;TRUE
OK;negbinomial.size; 3,100809e-21; 8,314481e-21;PIK3CD-AS2; 270;TRUE
OK;negbinomial.size; 4,608719e-28; 1,456631e-27;CLSTN1;2645;TRUE
OK;negbinomial.size;5,181057e-306;1,895992e-304;CTNNBIP1;2889;TRUE
OK;negbinomial.size; 2,142246e-19; 5,456744e-19;LZIC;2562;TRUE
OK;negbinomial.size; 1,829427e-04; 2,599743e-04;NMNAT1; 423;TRUE
